index	actor
0	('톰 크루즈', 'Tom Cruise')
1	('마일즈 텔러', 'Miles Teller')
2	('제니퍼 코넬리', 'Jennifer Connelly')
3	('존 햄', 'Jon Hamm')
4	('에드 해리스', 'Ed Harris')
5	('글렌 포웰', 'Glen Powell')
6	('제이 엘리스', 'Jay Ellis')
7	('그렉 타잔 데이비스', 'Greg Tarzan Davis')
8	('제이슨 슈왈츠먼', 'Jason Schwartzman')
9	('J.K. 시몬스', 'J.K. Simmons')
10	('라시다 존스', 'Rashida Jones')
11	('윌 사쏘', 'Will Sasso')
12	('네다 마르그레테 라바', 'Neda Margrethe Labba')
13	('서지오 파블로스', 'Sergio Pablos')
14	('놈 맥도널드', 'Norm MacDonald')
15	('조안 쿠삭', 'Joan Cusack')
16	('비고 모텐슨', 'Viggo Mortensen')
17	('마허샬라 알리', 'Mahershalalhashbaz Ali')
18	('린다 카델리니', 'Linda Cardellini')
19	('세바스찬 매니스캘코', 'Sebastian Maniscalco')
20	('디미터 D. 마리노프', 'Dimiter D. Marinov')
21	('마이크 해튼', 'Mike Hatton')
22	('이크밸 테바', 'Iqbal Theba')
23	('브라이언 스테파넥', 'Brian Stepanek')
24	('자인 알 라피아', 'Zain Al Rafeea')
25	('요르다노스 시프로우', 'Yordanos Shiferaw')
26	('보루와티프 트레저 반콜', 'Boluwatife Treasure Bankole')
27	('나딘 라바키', 'Nadine Labaki')
28	('하이타 아이잠', 'Haita Izzam')
29	('카우사르 알 하다드', 'Kawsar Al Haddad')
30	('파디 유세프', 'Fadi Yousef')
31	('일라이어스 코리', 'Elias Khoury')
32	('임지호', '')
33	('조시 게드', 'Josh Gad')
34	('데니스 퀘이드', 'Dennis Quaid')
35	('K.J. 아파', 'K.J. Apa')
36	('브라이스 게이사르', 'Bryce Gheisar')
37	('브릿 로버트슨', 'Britt Robertson')
38	('페기 립튼', 'Peggy Lipton')
39	('줄리엣 라이런스', 'Juliet Rylance')
40	('루크 커비', 'Luke Kirby')
41	('제이콥 트렘블레이', 'Jacob Tremblay')
42	('줄리아 로버츠', 'Julia Roberts')
43	('오웬 윌슨', 'Owen Wilson')
44	('이자벨라 비도빅', 'Izabela Vidovic')
45	('노아 주프', 'Noah Jupe')
46	('나드지 제터', 'Nadji Jeter')
47	('다니엘 로즈 러셀', 'Danielle Rose Russell')
48	('김설', '')
49	('이스마일 하지오글루', 'Ismail Hacioglu')
50	('세틴 테킨도르', 'Cetin Tekindor')
51	('알리 아타이', 'Ali Atay')
52	('자니 영', 'Johnny Young')
53	('고은민', '')
54	('조완기', '')
55	('이경진', '')
56	('하나에 나츠키', 'HANAE NATSUKI')
57	('호소야 요시마사', 'Yoshimasa Hosoya')
58	('사카모토 치카', 'Chika Sakamoto')
59	('야마구치 마유미', 'Mayumi Yamaguchi')
60	('미모리 스즈코', 'Suzuko Mimori')
61	('타무라 무츠미', 'Mutsumi Tamura')
62	('요시다 히토미', '')
63	('이케다 준야', '')
64	('이시카와 유이', '')
65	('나미카와 다이스케', 'Daisuke Namikawa')
66	('아미르 칸', 'Aamir Khan')
67	('파티마 사나 셰이크', 'Fatima Sana Shaikh')
68	('산야 말호트라', 'Sanya Malhotra')
69	('사크시 탄와르', 'Sakshi Tanwar')
