index	director
0	('조셉 코신스키', 'Joseph Kosinski')
1	('서지오 파블로스', 'Sergio Pablos')
2	('피터 패럴리', 'Peter Farrelly')
3	('나딘 라바키', 'Nadine Labaki')
4	('박혜령', 'Park Hye-ryoung')
5	('라세 할스트롬', 'Lasse Hallstrom')
6	('스티븐 크보스키', 'Stephen Chbosky')
7	('잔 울카이', 'Can Ulkay')
8	('타구치 토모히사', 'Tomohisa Taguchi')
9	('이시다테 타이치', 'Taichi Ishidate')
10	('미츠나카 스스무', 'MITSUNAKA Susumu')
11	('니테쉬 티와리', 'Nitesh Tiwari')
12	('유약영', '')
13	('제임스 맨골드', 'James Mangold')
14	('미키 데자키', 'Miki Dezaki')
15	('프랭크 다라본트', 'Frank Darabont')
16	('제임스 카메론', 'James Cameron')
17	('오윤동', '')
18	('방수인', '')
19	('곽재용', 'KWAK Jae-yong')
20	('스티븐 스필버그', 'Steven Spielberg')
21	('크리스 콜럼버스', 'Chris Columbus')
22	('앤드류 스탠튼', 'Andrew Stanton')
23	('로버트 와이즈', 'Robert Wise')
24	('로버트 저메키스', 'Robert Zemeckis')
25	('브라이언 싱어', 'Bryan Singer')
26	('리들리 스콧', 'Ridley Scott')
27	('마이클 그레이시', 'Michael Gracey')
28	('브렌트 밀러 주니어', 'Brent Miller Jr.')
29	('로베르토 베니니', 'Roberto Benigni')
30	('봉준호', 'Joon-ho Bong')
31	('테이트 테일러', 'Tate Taylor')
32	('릴리 워쇼스키', 'Lilly Wachowski')
33	('미야자키 하야오', 'Hayao Miyazaki')
34	('리 언크리치', 'Lee Unkrich')
35	('가스 제닝스', 'Garth Jennings')
36	('원화평', '')
37	('이정향', '')
38	('도노반 마시', 'Donovan Marsh')
39	('데오도르 멜피', 'Theodore Melfi')
40	('피터 잭슨', 'Peter Jackson')
41	('앤서니 루소', 'Anthony Russo')
42	('피터 위어', 'Peter Weir')
43	('뤽 베송', 'Luc Besson')
44	('가이 리치', 'Guy Ritchie')
45	('잭 스나이더', 'Zack Snyder')
46	('김두영', '')
47	('김현석', 'Kim Hyun Seok')
48	('이준익', 'Lee Joon-ik')
49	('마틴 브레스트', 'Martin Brest')
50	('이상용', '')
51	('유진위', '')
52	('게일 맨쿠소', 'Gail Mancuso')
53	('문창용', 'Moon Chang-yong')
54	('피터 호튼', 'Peter Horton')
55	('존 매든', 'John Madden')
56	('바이론 하워드', 'Byron Howard')
57	('구스 반 산트', 'Gus Van Sant')
58	('SS 라자몰리', 'S.S. Rajamouli')
59	('라지쿠마르 히라니', 'Rajkumar Hirani')
