movie	labels
0	[3, 10, 2, 3, 0, 1, 5, 4, 0, 10, 8, 1, 2, 4, 1, 2, 3, 0, 0, 0, 3, 14]
1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
2	[0, 4, 1, 3, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 7]
3	[0, 1, 2, 1, 1, 0, 1, 2, 0, 3, 0, 2, 0, 2, 0, 1, 1, 0, 2, 0, 0, 1]
4	[1, 2, 7, 1, 0, 0, 2, 2, 1, 2, 2, 3, 1, 3, 0, 0, 6, 1, 0, 0, 2, 4]
5	[1, 1, 3, 1, 1, 0, 2, 2, 0, 2, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1]
6	[1, 3, 4, 2, 0, 2, 5, 2, 0, 0, 0, 1, 2, 1, 1, 0, 1, 0, 2, 0, 3, 0]
7	[1, 2, 2, 0, 2, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]
8	[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 4, 2, 0, 1, 1]
9	[0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1]
10	[0, 0, 2, 1, 0, 2, 0, 0, 2, 0, 0, 3, 2, 0, 0, 0, 1, 0, 4, 0, 0, 2]
11	[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 4]
12	[0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]
13	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]
14	[0, 0, 1, 0, 0, 1, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 1, 0]
15	[0, 5, 1, 0, 0, 1, 2, 2, 5, 2, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 3, 5]
16	[1, 7, 0, 3, 1, 1, 8, 1, 0, 4, 2, 0, 1, 2, 0, 3, 3, 0, 1, 0, 0, 10]
